group,n_windows,pos_rate,auroc,auprc,sensitivity,precision
50-64,32218,0.102,0.8501,0.3675,0.805,0.261
65-79,38100,0.108,0.8411,0.3641,0.8,0.273
<50,20862,0.092,0.8566,0.3534,0.788,0.26
>=80,16651,0.107,0.7993,0.2879,0.774,0.234
